epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1129.79,1.87686,2.03646,2.22927,0.56929,0.42796,0.47765,0.199,1.95657,1.92908,2.36242,0.000990365,0.000990365,0.000990365
43,1156.63,1.85021,2.02394,2.20125,0.45731,0.47855,0.43167,0.17664,1.98344,2.17903,2.33637,0.000973861,0.000973861,0.000973861
44,1183.5,1.87054,2.01691,2.19309,0.55313,0.46471,0.5023,0.20098,1.96533,1.91446,2.34682,0.000957358,0.000957358,0.000957358
45,1210.43,1.83209,1.98512,2.16984,0.57505,0.48664,0.53862,0.22373,1.92335,1.89591,2.28143,0.000940855,0.000940855,0.000940855
46,1237.28,1.82201,1.96048,2.15466,0.54051,0.51863,0.51402,0.22605,1.94228,1.84278,2.31716,0.000924352,0.000924352,0.000924352
47,1263.96,1.80567,1.96211,2.1327,0.55774,0.49232,0.50935,0.21274,1.89143,1.94161,2.27837,0.000907848,0.000907848,0.000907848
48,1290.88,1.78109,1.94006,2.1109,0.5911,0.47484,0.52441,0.22796,1.9197,1.87999,2.28714,0.000891345,0.000891345,0.000891345
49,1317.77,1.7854,1.88717,2.11189,0.57035,0.5165,0.53614,0.23393,1.8475,1.91361,2.23217,0.000874842,0.000874842,0.000874842
50,1344.62,1.78501,1.9013,2.106,0.58663,0.53036,0.53759,0.23398,1.89912,1.84022,2.26094,0.000858338,0.000858338,0.000858338
51,1371.43,1.76156,1.8627,2.08901,0.58754,0.5648,0.56249,0.24339,1.87551,1.79945,2.24673,0.000841835,0.000841835,0.000841835
52,1398.2,1.77664,1.88152,2.0837,0.57487,0.525,0.55683,0.24898,1.90883,1.74302,2.22816,0.000825332,0.000825332,0.000825332
53,1424.97,1.75896,1.82999,2.06326,0.68084,0.50229,0.57715,0.25456,1.87106,1.75189,2.21711,0.000808828,0.000808828,0.000808828
54,1451.82,1.74283,1.8131,2.04892,0.56442,0.57451,0.57403,0.25,1.87816,1.74873,2.22235,0.000792325,0.000792325,0.000792325
55,1478.61,1.73339,1.77996,2.03897,0.58488,0.53179,0.53839,0.23278,1.88563,1.76756,2.20588,0.000775822,0.000775822,0.000775822
56,1505.42,1.72969,1.79205,2.04941,0.59981,0.54281,0.58389,0.25344,1.87508,1.69318,2.20042,0.000759318,0.000759318,0.000759318
