epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.96,3.39568,4.60113,4.14435,0.02174,0.06278,0.00801,0.00195,3.09521,4.01733,3.83444,0.00332825,0.00332825,0.00332825
2,283.482,2.76608,3.61886,3.2908,0.57259,0.1034,0.0581,0.01662,2.62014,3.18875,3.03189,0.00659564,0.00659564,0.00659564
3,422.855,2.37286,3.11812,2.78321,0.13677,0.20476,0.0798,0.02527,2.46976,3.09474,2.82968,0.00979702,0.00979702,0.00979702
4,559.996,2.21343,2.84984,2.544,0.24736,0.25484,0.1746,0.0627,2.29756,2.67694,2.5033,0.009703,0.009703,0.009703
5,700.546,2.09256,2.64756,2.39862,0.28508,0.29984,0.23416,0.0881,2.21746,2.41512,2.40011,0.009604,0.009604,0.009604
6,839.855,2.01965,2.50886,2.29492,0.32171,0.34933,0.26822,0.10406,2.06036,2.37311,2.27819,0.009505,0.009505,0.009505
7,975.39,1.98089,2.39945,2.23715,0.35577,0.32938,0.27253,0.10715,2.10703,2.29307,2.30538,0.009406,0.009406,0.009406
8,1113.46,1.9306,2.3082,2.18214,0.3686,0.40256,0.31368,0.12096,2.05968,2.17035,2.23157,0.009307,0.009307,0.009307
9,1251.09,1.9017,2.23543,2.14416,0.44355,0.43359,0.38304,0.15947,1.98874,2.02302,2.09487,0.009208,0.009208,0.009208
10,1392.07,1.88449,2.17103,2.12415,0.4645,0.45463,0.40499,0.16516,1.9919,1.96838,2.12424,0.009109,0.009109,0.009109
11,1530.38,1.85518,2.14145,2.08263,0.45947,0.47933,0.42716,0.17662,1.93607,1.94535,2.07922,0.00901,0.00901,0.00901
12,1668.5,1.82918,2.09272,2.06375,0.51685,0.46837,0.45102,0.18968,1.90616,1.8874,2.02287,0.008911,0.008911,0.008911
13,1803.38,1.82534,2.03229,2.03694,0.53357,0.45564,0.45791,0.2036,1.90126,1.81974,2.03862,0.008812,0.008812,0.008812
14,1946.41,1.79936,2.02211,2.02308,0.51137,0.49762,0.47544,0.20516,1.90878,1.80688,2.01949,0.008713,0.008713,0.008713
15,2084.04,1.7872,1.97603,2.0013,0.51191,0.50429,0.47571,0.19823,1.91978,1.84667,2.03418,0.008614,0.008614,0.008614
